tconst,primaryTitle,startYear,genres,averageRating,numVotes,posterUrl
tt13626960,Dick,2021,"Comedy,Documentary",6.9,392.0,https://image.tmdb.org/t/p/w500/aBG4XoK5xkujl4crloPs6bStl4m.jpg
tt13626978,Pussy,2021,"Comedy,Documentary",6.6,374.0,https://image.tmdb.org/t/p/w500/5450Y6bf32vfAYRZjz6G36azBYl.jpg
tt13626988,Damn,2021,"Comedy,Documentary",6.8,353.0,https://image.tmdb.org/t/p/w500/zkHSURVCrt7rpvDDgUXO75CV1v4.jpg
tt13647614,Episode #10.92,1990,Talk-Show,,,
tt1365297,Episode dated 20 January 2009,2009,"Comedy,News,Talk-Show",8.9,47.0,
tt13682802,Oscar Snubs: The Top 10 Actors Ignored By Oscars for Best Actor & Best Actress Awards,2020,Talk-Show,,,
tt13759286,"EVOLUTION: Every Meryl Streep Role From 1977 to 2021, All Performances Exceptionally Poignant",2021,Talk-Show,,,
tt1391303,Episode #16.107,2009,"Comedy,Music,Talk-Show",,,
tt1392038,Episode dated 17 March 2009,2009,Talk-Show,,,
tt1392792,The Films of Jon Turteltaub,2008,"Biography,Documentary",,,
tt13997642,Episode #40.128,2021,"News,Talk-Show",,,
tt1401362,Episode dated 20 March 2009,2009,"News,Talk-Show",,,
tt14032708,The Making of - Season of the Witch,2011,"Action,Short",8.3,9.0,
tt1405876,Episode dated 27 March 2009,2009,"News,Talk-Show",,,
tt1414723,Episode dated 31 March 2009,2009,"Comedy,Documentary,Talk-Show",,,
tt14182502,Episode #9.136,2021,News,,,
tt1418311,Knowing,2009,Documentary,,,https://image.tmdb.org/t/p/w500/OG0mxQt4YaNIWiz8EKJSHe9lPh.jpg
tt1426251,Episode #1.70,1992,"Comedy,Music,Talk-Show",,,
tt1427334,Very Important Pennis: Part 2,1996,Comedy,6.9,18.0,
tt14376874,1997 Blockbuster Entertainment Awards,1997,Reality-TV,,,
tt1442077,Episode dated 21 May 2009,2009,"News,Talk-Show",,,
tt1449106,Episode dated 18 March 2009,2009,Talk-Show,,,
tt14501274,"A Tribute to Nicolas Cage: Rise, Journey & Latest 'Adaptation' of Our 'Kick-Ass' 'National Treasure'",2021,Talk-Show,,,
tt1462759,Butcher's Crossing,2022,"Adventure,Drama,Western",5.6,6249.0,https://image.tmdb.org/t/p/w500/2KdkRsYuzYPlJMLrV39gdjY3WkS.jpg
tt14662442,The 11th IFP/West Annual Independent Spirit Awards,1996,Unknown,5.8,9.0,
tt1468989,Episode dated 21 July 2009,2009,"News,Talk-Show",,,
tt14827308,Episode dated 4 February 2001,2001,News,,,
tt14827638,The Retirement Plan,2023,"Action,Comedy,Crime",5.1,9504.0,https://image.tmdb.org/t/p/w500/kv4n3xgRWtkldaD4kyy1FvpW6bO.jpg
tt1488996,Episode dated 4 December 2002,2002,"News,Talk-Show",,,
tt1489335,ES.TV HD,2009,Talk-Show,3.0,69.0,
tt14959972,30 Years Later: The Hollywood Premiere of Terminator 2!,2021,Unknown,,,
tt1502404,Drive Angry,2011,"Action,Comedy,Fantasy",5.4,104990.0,https://image.tmdb.org/t/p/w500/g0hQNqLkPZC5wOnNhzUH0KvPda4.jpg
